"ConditionA1.bam" "ConditionA2.bam" "ConditionA3.bam" "ConditionD1.bam" "ConditionD2.bam" "ConditionD3.bam" "ConditionE1.bam" "ConditionE2.bam" "ConditionE3.bam" "ConditionF1.bam" "ConditionF2.bam" "ConditionF3.bam" "ConditionF4.bam" "ConditionG1.bam" "ConditionG2.bam" "ConditionG3.bam" "ConditionG4.bam"
"Cluster-2491.9458" 75 54 36 114 111 104 104 277 308 151 164 99 126 162 149 426 249
"Cluster-2491.8056" 318 177 171 472 584 419 193 496 456 327 458 365 417 290 275 3634 1325
"Cluster-2491.17340" 149 144 115 124 114 104 23 80 40 70 115 126 136 51 37 145 103
"Cluster-2491.19219" 208 179 168 172 229 66 20 140 93 19 61 23 126 119 40 330 103
"Cluster-2491.16894" 958 840 466 653 711 445 116 661 219 97 119 251 513 343 70 617 789
"Cluster-2491.8250" 1520 1384 970 662 661 469 248 790 550 336 377 861 1751 489 339 1942 1193
"Cluster-2491.6465" 933 620 299 412 473 341 330 1133 545 599 843 851 890 498 637 2725 1258
"Cluster-2491.12778" 167 130 61 106 142 109 40 112 90 48 72 113 147 93 58 255 169
"Cluster-2491.3826" 8 8 2 3 0 0 48 17 37 2 0 2 5 18 2 47 38
"Cluster-2491.8446" 197 233 73 335 341 234 91 125 98 54 121 219 287 151 57 264 263
"Cluster-2491.17266" 5 8 3 16 19 13 16 42 43 7 15 5 8 33 22 67 21
"Cluster-2491.9164" 1644 1587 808 889 1372 883 896 3300 2689 637 776 650 1231 1914 937 6176 2947
"Cluster-2491.25565" 351 244 132 63 75 50 5 59 7 704 647 273 422 8 452 38 166
"Cluster-2491.4138" 194 152 110 205 138 122 46 95 71 62 83 106 210 62 62 280 239
"Cluster-2491.5333" 1421 1444 815 499 362 306 150 669 24 38 12 201 825 286 20 440 563
"Cluster-2491.16107" 528 455 216 227 287 153 67 168 146 95 144 137 263 165 66 497 304
"Cluster-2491.5462" 102 255 2902 207 320 680 5585 2813 128 222 885 18193 1502 937 1366 352 159
"Cluster-2491.23847" 417 278 187 0 1 0 8 107 0 48 57 246 440 0 16 23 251
"Cluster-2491.8561" 4 3 4 0 1 2 131 32 134 7 1 3 8 53 19 204 100
"Cluster-4417.0" 4 8 3 42 32 31 3 12 7 5 8 3 12 6 5 14 7
"Cluster-2491.5342" 927 841 593 1311 1528 1032 174 375 244 119 104 701 1360 372 74 1633 1005
"Cluster-2491.12284" 9 19 14 32 41 33 27 41 38 36 57 77 61 20 30 101 85
"Cluster-2491.20423" 11 17 7 14 6 6 4 15 9 13 20 38 31 3 21 38 25
"Cluster-2491.4659" 228 166 111 136 129 94 88 98 105 36 61 101 141 76 43 345 237
"Cluster-2491.8779" 918 936 926 313 347 253 86 259 104 88 113 187 295 92 95 685 362
"Cluster-2491.1006" 7 1 7 67 51 53 1 22 12 1 1 1 4 5 7 20 13
"Cluster-2491.5670" 687 851 477 710 694 585 488 2095 930 100 94 292 810 1263 89 4100 2334
"Cluster-2491.8437" 289 210 78 52 38 33 41 126 38 50 98 103 135 68 56 244 170
"Cluster-2491.12069" 0 1 0 0 0 1 4 3 10 0 0 0 0 6 2 5 1
"Cluster-2491.5383" 177 130 106 162 140 124 77 165 58 401 675 811 934 108 241 898 452
"Cluster-2491.18603" 62 66 25 56 56 39 9 36 14 9 14 22 35 25 5 45 63
"Cluster-2491.8369" 160 130 99 177 178 134 115 245 220 171 216 265 357 130 123 326 296
"Cluster-2491.1238" 2 0 0 0 0 0 710 1676 10 4 104 87 591 122 17 0 1
"Cluster-2491.6669" 3392 2952 2057 1473 1606 1075 694 1622 1519 480 859 2842 3989 1018 585 5148 2935
"Cluster-2491.6180" 125 75 6206 35067 65401 40141 33676 50913 138340 32986 28271 49070 41476 15956 30479 106184 154134
"Cluster-2491.14991" 690 448 325 315 458 268 156 497 308 229 223 174 342 399 230 1162 813
"Cluster-2491.14579" 29 33 33 9 14 7 1 11 1 15 14 45 45 7 14 41 20
"Cluster-2491.2006" 56 37 12 0 0 0 37 20 7 103 100 111 139 17 42 40 56
"Cluster-2491.15832" 30 23 6 4 26 8 6 9 1 4 7 8 8 9 3 20 27
"Cluster-2491.12345" 6 5 0 6 24 8 25 34 35 7 3 14 23 24 10 42 31
"Cluster-2491.9802" 605 510 276 305 354 228 90 257 152 302 575 846 1259 108 281 784 538
"Cluster-2491.10971" 221 219 53 551 707 433 106 265 393 88 138 199 335 244 96 545 491
"Cluster-4174.0" 11 4 6 2 0 2 0 1 1 1 2 10 6 0 0 6 13
"Cluster-2491.22036" 17 9 12 0 0 0 2 0 0 1 11 39 34 0 7 36 11
"Cluster-2491.2819" 16 24 10 8 8 7 7 14 2 1 2 11 3 6 1 26 24
"Cluster-2491.11450" 607 509 303 279 385 223 78 313 174 905 1558 1731 1427 169 514 835 456
"Cluster-2491.5784" 275 252 195 938 733 610 554 3849 475 74 49 203 418 2352 79 4222 2963
"Cluster-2491.7592" 149 123 68 440 522 342 70 278 129 29 60 53 133 237 71 703 327
"Cluster-2491.10877" 257 229 138 134 170 117 69 267 261 215 263 251 332 168 167 336 262
"Cluster-2491.4635" 1625 1175 803 468 502 298 145 402 293 123 157 290 497 367 155 1071 739
"Cluster-2491.9677" 151 175 72 294 305 201 102 196 231 311 374 417 463 127 206 278 335
"Cluster-2491.9248" 638 493 260 523 605 414 237 391 482 374 454 445 545 393 261 1598 791
"Cluster-2491.16555" 149 86 98 4 6 3 30 47 10 328 663 886 885 7 206 465 312
"Cluster-3225.0" 20 30 6 11 12 3 1 13 5 0 1 3 13 4 0 23 16
"Cluster-2491.359" 12 4 4 5 9 5 2 5 18 6 3 10 22 2 7 22 27
"Cluster-2491.10896" 276 242 102 345 226 206 49 201 168 64 81 63 140 142 85 386 208
"Cluster-2491.2683" 21 15 1 7 4 1 23 8 20 0 0 1 4 22 0 28 5
"Cluster-2491.9241" 510 385 194 437 399 255 194 433 366 168 297 405 518 298 176 769 488
"Cluster-2491.24361" 103 96 106 2 0 1 0 1 0 19 12 26 48 0 14 0 3
"Cluster-2491.12020" 203 151 44 309 328 244 47 146 119 44 82 107 173 111 52 381 258
"Cluster-2491.5050" 2812 2295 2227 404 427 331 298 1747 1456 2075 2528 1054 1508 1167 1580 3291 1320
"Cluster-2491.25264" 45 62 30 1 5 5 0 4 0 5 0 1 8 0 2 5 2
"Cluster-2491.6835" 246 185 136 634 666 458 210 870 778 397 495 208 378 392 577 1233 692
"Cluster-2491.4945" 265 207 172 215 228 153 87 187 192 242 341 401 448 125 174 555 330
"Cluster-2491.11772" 747 691 416 140 153 133 142 314 334 242 380 137 176 153 236 804 292
"Cluster-2491.4894" 538 547 278 475 446 359 278 696 268 81 61 189 376 461 124 1434 723
"Cluster-2491.10905" 481 464 308 318 288 231 150 596 437 414 488 622 763 369 354 1591 668
"Cluster-2491.11888" 252 323 167 84 97 98 60 343 274 78 100 37 50 180 140 711 406
"Cluster-2491.4758" 921 659 523 291 326 196 164 440 463 641 812 747 800 233 588 1592 740
"Cluster-2491.9472" 1 6 1 0 1 0 8 0 7 0 0 0 1 5 1 10 8
"Cluster-2491.4439" 55 44 35 36 44 42 14 46 29 15 30 21 45 27 30 87 62
"Cluster-2491.5319" 515 424 326 453 525 352 430 2168 1938 1269 1337 753 762 831 1539 3880 1357
"Cluster-2491.4896" 2029 1746 1045 1413 1486 981 725 1629 1511 1037 1114 1349 1791 804 836 4414 2311
"Cluster-2491.16403" 136 136 59 703 668 581 136 1682 592 61 91 178 437 685 68 822 1194
"Cluster-2491.15774" 61 57 29 101 97 78 24 38 64 17 35 27 40 47 41 39 79
"Cluster-2491.25470" 10 11 3 2 8 0 0 4 5 1 3 2 1 2 0 4 3
"Cluster-2491.12165" 192 159 49 227 217 159 78 112 107 248 388 501 510 100 113 427 345
"Cluster-2491.19199" 120 93 60 74 89 76 26 72 38 154 254 211 278 48 106 304 127
"Cluster-2491.12005" 8 70 10 1 1 1 633 1376 2723 247 266 424 527 1248 933 4961 1825
"Cluster-2491.9498" 1016 879 519 595 611 454 116 541 404 625 870 847 1068 290 529 1561 793
"Cluster-2491.10392" 1615 1659 887 1366 1508 1080 247 674 1117 320 357 175 268 347 418 1528 1053
"Cluster-2491.8902" 328 366 261 453 268 262 64 104 103 66 121 338 495 103 70 162 260
"Cluster-2491.19360" 37 28 28 11 11 12 8 7 9 1 9 13 22 8 6 42 29
"Cluster-2491.16330" 204 163 150 199 240 149 131 562 443 210 265 320 299 264 226 1136 543
"Cluster-2491.14217" 77 72 45 109 103 79 42 114 111 179 221 197 197 87 128 375 181
"Cluster-2491.18501" 4 3 4 0 0 2 80 7 61 2 4 2 0 20 6 83 46
"Cluster-2491.8713" 360 612 186 189 211 142 119 308 199 242 301 264 350 187 188 574 395
"Cluster-2491.10854" 145 139 86 112 129 109 69 349 331 215 263 155 151 185 235 582 250
"Cluster-2491.5422" 2 2 2 0 0 1 1363 1089 1253 0 1 3 3 1117 110 2790 1500
"Cluster-2491.17516" 22 18 9 7 2 3 1 21 14 36 78 125 126 10 34 67 75
"Cluster-2491.25478" 15 25 20 9 3 4 2 5 2 2 3 9 16 3 1 7 5
"Cluster-2491.17916" 17 13 4 98 109 64 2 15 2 8 8 27 38 2 5 27 102
"Cluster-2491.14465" 485 400 225 208 194 122 182 237 232 124 196 140 249 183 136 865 518
"Cluster-2491.4052" 121 138 60 76 139 52 26 43 31 114 113 138 168 26 57 104 97
"Cluster-2491.22927" 16 41 11 23 20 14 8 6 4 5 17 28 17 0 1 12 8
"Cluster-2491.10953" 222 142 102 144 146 85 123 165 193 242 455 574 598 134 215 635 294
"Cluster-2491.19987" 222 479 183 0 4 1 8 1 6 36 31 8 37 4 16 32 27
"Cluster-2491.13031" 432 316 293 259 265 222 111 273 212 250 288 292 306 154 249 878 426
"Cluster-2491.975" 43 23 17 25 36 23 23 28 23 99 142 159 182 16 70 138 90
"Cluster-2491.12549" 62 81 58 135 83 80 60 109 67 124 181 289 254 46 72 103 145
"Cluster-2491.3481" 2 2 0 0 2 2 155 41 165 0 0 2 0 61 35 213 92
"Cluster-2491.22557" 16 13 17 4 1 3 6 2 12 4 5 9 26 7 1 10 7
"Cluster-2491.13019" 99 74 52 125 109 98 66 56 70 185 275 344 317 47 102 274 183
"Cluster-2491.2028" 88 69 56 24 36 14 7 20 12 22 76 70 106 4 33 63 60
"Cluster-2491.8542" 536 395 245 405 396 331 192 368 348 530 765 629 798 256 369 755 663
"Cluster-2491.7116" 1330 2003 636 873 882 666 2291 2948 2416 1802 2847 2380 5103 1647 2039 8905 5539
"Cluster-2491.9515" 842 647 646 261 253 195 103 263 228 192 336 560 610 159 223 1008 464
"Cluster-2491.9573" 902 720 533 283 324 254 117 457 263 212 317 251 554 205 137 365 447
"Cluster-2491.17248" 102 80 84 50 54 30 16 30 21 14 26 37 111 12 15 56 57
"Cluster-2491.20239" 404 352 382 16 23 8 11 8 3 157 172 51 84 2 89 19 38
"Cluster-2491.10693" 222 289 181 207 167 122 69 119 42 78 116 328 342 94 41 164 241
"Cluster-2491.8327" 152 132 109 19 23 13 73 288 15 32 61 276 280 146 51 357 283
"Cluster-2491.7635" 1740 1265 970 769 1250 734 588 4736 1803 493 333 635 1179 2894 683 6290 4062
"Cluster-2491.8074" 794 694 501 770 772 545 589 717 812 427 653 1168 1372 667 544 2634 1534
"Cluster-2491.3760" 244 211 144 122 85 105 37 161 36 8 13 21 40 81 32 328 155
"Cluster-2491.13777" 3 6 1 531 772 395 64 128 329 33 37 21 43 93 55 502 255
"Cluster-2491.13510" 363 211 272 80 96 64 44 82 47 97 161 191 247 53 78 332 249
"Cluster-2491.11791" 203 138 103 434 348 258 57 242 140 149 223 306 363 100 145 522 300
"Cluster-2491.2802" 46 47 37 50 66 40 35 154 88 33 56 82 81 52 36 161 152
"Cluster-2491.25174" 204 230 88 11 13 14 2 0 1 22 5 0 0 0 3 1 1
"Cluster-2491.7180" 206 148 106 91 49 47 145 215 224 184 134 59 114 101 102 465 272
"Cluster-2491.5880" 2829 2477 2031 1892 2681 1723 1233 2428 3298 1676 2057 1508 1811 1411 1743 5947 3167
"Cluster-2491.13603" 4 4 1 3 0 0 111 51 122 1 0 5 12 66 39 202 79
"Cluster-2491.19182" 25 23 14 27 23 19 4 23 1 3 5 7 65 4 0 11 21
"Cluster-2491.16553" 525 333 554 125 137 87 75 112 53 87 146 896 1480 48 55 1065 672
"Cluster-2491.10241" 1722 1519 748 1512 1693 1021 629 1557 1575 792 1042 809 1156 1242 810 3284 1695
"Cluster-2491.14952" 82 63 46 65 54 48 26 54 44 35 59 89 97 37 24 59 81
"Cluster-2491.18530" 694 546 332 1 2 0 3 2 1 599 549 232 657 2 209 7 13
"Cluster-2491.23954" 16 15 23 2 0 1 3 1 0 0 0 3 18 1 1 6 6
"Cluster-2491.11547" 52 60 25 41 41 20 60 106 84 41 43 34 32 28 27 103 205
"Cluster-2491.13106" 132 126 102 114 87 63 28 32 55 16 16 59 89 31 13 137 71
"Cluster-2491.24881" 48 30 23 3 0 3 6 6 0 35 85 104 143 0 29 46 20
"Cluster-2491.8913" 267 262 215 466 560 368 216 1348 1000 560 504 255 325 588 627 2628 1186
"Cluster-2491.15826" 54 69 23 49 36 14 22 18 13 62 98 154 217 15 36 63 81
"Cluster-2491.13072" 142 100 64 47 54 39 38 39 32 56 128 201 251 27 57 243 136
"Cluster-2491.19487" 4 3 1 1 1 0 1 2 1 0 0 3 3 1 0 6 0
"Cluster-2491.4568" 720 910 355 25 28 13 49 190 149 136 126 44 114 128 126 325 97
"Cluster-2491.19066" 80 85 50 171 135 91 20 108 63 4 5 11 36 49 10 182 156
"Cluster-2491.12505" 182 179 71 334 387 276 74 97 89 222 301 492 588 74 155 393 318
"Cluster-2491.11133" 31 26 16 36 32 18 31 46 45 27 17 21 23 26 18 171 61
"Cluster-2491.7214" 31 58 19 45 70 42 22 20 33 7 26 15 16 16 18 108 69
"Cluster-2491.14548" 553 439 276 235 309 204 69 245 141 124 166 299 473 129 153 641 457
"Cluster-2491.6795" 550 444 500 625 674 520 1154 2502 2659 1923 1870 1401 1751 1113 1869 7203 4034
"Cluster-2491.10122" 162 164 102 71 102 59 89 270 176 103 142 64 74 128 122 572 285
"Cluster-2491.10276" 513 461 253 229 256 185 30 104 102 50 79 62 162 40 44 513 358
"Cluster-2491.9544" 200 179 87 198 258 143 128 590 493 206 206 66 133 334 288 976 413
"Cluster-2491.2741" 2 21 9 26 114 238 954 3223 20 22 245 57 601 287 61 10 8
"Cluster-2491.20081" 21 20 7 44 53 42 4 26 16 11 19 1 15 7 13 27 20
"Cluster-3849.0" 53 29 41 41 85 33 4 10 19 32 37 46 93 4 14 41 25
"Cluster-2491.21963" 1 9 5 46 4 5 16 4 12 8 0 0 3 0 0 10 21
"Cluster-2491.4579" 486 396 301 196 222 152 136 457 359 337 525 882 855 210 316 1821 624
"Cluster-2491.14922" 128 149 89 50 41 40 7 49 34 11 28 43 20 29 28 124 33
"Cluster-4969.0" 9 12 5 4 8 5 2 4 4 1 1 3 7 5 1 13 11
"Cluster-2491.11969" 86 83 45 90 81 63 62 144 187 53 75 18 25 103 104 397 203
"Cluster-2491.6899" 98 70 64 36 51 40 18 76 22 57 66 63 86 30 28 102 91
"Cluster-2491.10116" 6958 6063 5269 1918 1984 1481 120 953 264 416 597 1006 1686 208 269 3137 1927
"Cluster-2491.11582" 26 27 13 342 357 224 34 105 117 14 15 30 46 74 28 210 168
"Cluster-2491.9767" 298 284 164 1104 1363 868 367 830 1325 243 286 202 240 549 411 1669 1231
"Cluster-2491.13514" 120 120 17 350 171 43 17 41 4 29 19 50 182 11 4 73 71
"Cluster-2491.5278" 328 324 145 539 570 407 200 587 489 439 690 873 1026 390 386 1467 855
"Cluster-2491.16155" 0 1 0 0 0 1 71 75 65 0 0 2 1 42 21 300 75
"Cluster-2491.23760" 129 122 83 9 20 8 8 18 14 72 91 100 176 1 37 22 46
"Cluster-537.0" 12 18 5 0 1 0 1 1 1 0 2 0 2 0 1 9 4
"Cluster-2491.2905" 25 29 9 79 64 59 36 57 37 66 49 85 106 33 35 64 127
"Cluster-2491.15146" 25 28 10 23 6 26 15 37 8 7 15 38 74 30 2 63 78
"Cluster-2491.16633" 577 535 368 536 672 444 98 389 142 65 81 240 281 163 46 818 605
"Cluster-2491.10294" 101 110 54 118 139 100 27 69 45 95 95 97 168 39 83 168 131
"Cluster-2491.12388" 401 378 193 475 384 260 118 465 230 106 175 496 685 273 129 700 518
"Cluster-2491.21639" 2 4 34 1370 220 353 66 7 0 51 1 2 0 0 1 0 0
"Cluster-2491.17525" 13 18 10 6 8 2 7 9 8 14 5 19 25 5 5 31 34
"Cluster-2491.10338" 193 133 147 59 81 58 11 36 17 116 199 197 227 11 75 202 114
"Cluster-2491.7411" 162 148 77 133 156 111 70 316 210 344 447 338 378 230 282 652 280
"Cluster-4190.0" 12 11 6 13 12 11 3 5 4 6 8 4 24 1 4 9 3
"Cluster-2491.15088" 3 0 0 5 2 0 13 13 1 0 0 0 1 16 1 39 18
"Cluster-2491.12393" 35 35 8 54 47 51 13 62 44 49 38 93 92 18 29 54 64
"Cluster-2491.10162" 1826 1540 1063 1379 1502 1004 675 2099 1957 1557 1800 1393 1647 1176 1345 5023 2200
"Cluster-2491.6297" 10391 10456 5428 5705 8108 5259 6338 19319 20562 12353 13442 5089 5958 11913 13972 35087 15645
"Cluster-2491.11887" 1 3 2 80 63 58 49 134 107 36 53 26 76 78 40 151 160
"Cluster-2491.3680" 120 133 53 55 59 55 34 49 67 36 34 32 45 37 25 112 137
"Cluster-2491.14068" 253 182 73 106 166 106 28 103 34 62 77 93 154 96 21 121 155
"Cluster-2491.13313" 49 30 25 55 75 33 23 32 21 26 27 33 56 29 15 102 69
"Cluster-3541.1" 1 3 5 1 1 0 5 2 1 8 6 1 1 5 3 2 1
"Cluster-2491.9519" 365 357 210 414 379 295 171 271 383 239 272 381 464 197 174 747 576
"Cluster-770.0" 6 6 1 1 2 1 1 2 0 0 0 13 12 6 1 15 8
"Cluster-2491.9477" 293 208 132 136 194 118 93 160 286 199 225 137 207 142 242 574 253
"Cluster-2491.4291" 0 1 0 17 4 9 59 36 32 8 2 14 27 16 13 44 63
"Cluster-2491.8382" 11 9 7 34 44 25 3 27 32 28 9 15 12 7 14 35 41
"Cluster-2491.9635" 332 303 185 289 240 176 66 164 31 306 653 728 1266 82 232 899 582
"Cluster-2491.3171" 122 114 63 110 101 49 21 71 25 33 42 88 175 33 25 57 73
"Cluster-2491.10742" 240 183 140 49 70 37 30 13 3 81 96 87 103 19 19 55 51
"Cluster-2491.16858" 169 179 100 466 412 293 397 1360 484 194 387 210 350 676 311 1791 1418
"Cluster-3119.0" 14 12 2 1 0 1 0 0 0 2 0 2 12 0 1 1 2
"Cluster-2491.24406" 7 9 3 0 0 0 0 2 0 5 10 28 29 1 4 19 8
"Cluster-2491.23547" 562 518 278 0 3 1 2 12 25 504 588 157 235 10 216 59 11
"Cluster-2491.14482" 95 103 49 142 99 82 30 81 16 48 77 137 247 37 18 126 149
"Cluster-2491.23746" 10 12 10 0 0 0 2 11 2 24 51 170 159 1 24 150 53
"Cluster-2491.13490" 9 22 8 0 2 0 1021 3866 23 14 180 43 376 528 37 7 2
"Cluster-2491.1992" 280 200 159 23 17 11 31 24 149 107 141 33 67 3 57 11 97
"Cluster-2491.11116" 1682 1331 936 161 183 132 36 382 33 171 275 331 596 143 113 411 466
"Cluster-2491.5388" 71 68 60 631 725 459 506 1508 1277 370 320 215 318 1159 657 2803 1680
"Cluster-2491.9211" 35 48 11 60 46 33 23 36 16 63 104 199 213 16 59 101 114
"Cluster-2491.6864" 885 906 557 424 483 382 110 269 450 164 196 77 103 122 156 797 598
"Cluster-2491.20512" 343 276 142 262 264 212 89 199 139 126 197 484 629 143 106 576 495
"Cluster-2491.6718" 152 94 69 50 84 50 12 28 43 59 86 105 142 34 51 125 75
"Cluster-2491.4663" 103 172 46 326 390 261 96 378 291 199 363 135 265 167 242 679 287
"Cluster-2491.15585" 68 66 40 43 29 26 18 36 10 22 28 38 54 37 8 29 30
"Cluster-2491.8828" 1278 1181 751 1034 1574 951 286 671 798 568 689 604 719 277 512 2376 1343
"Cluster-2491.13029" 121 104 80 104 101 76 19 58 20 39 33 41 63 31 35 62 94
"Cluster-2491.4476" 15 17 11 686 890 596 102 202 324 47 84 39 30 133 124 698 342
"Cluster-2491.12287" 273 229 109 51 30 31 5 31 20 21 43 16 7 55 18 51 26
"Cluster-2491.9786" 9 9 2 33 44 29 5 11 16 4 1 4 7 6 6 26 42
"Cluster-2491.13791" 179 164 56 271 289 218 44 342 104 84 72 77 101 134 73 274 223
"Cluster-2491.18370" 8 22 11 45 34 16 12 17 16 5 11 4 13 13 12 26 18
"Cluster-2491.17004" 468 307 174 107 122 80 14 76 44 26 55 107 135 21 25 210 169
"Cluster-2491.19202" 442 239 266 27 29 16 54 136 10 350 767 2064 2156 15 330 1328 659
"Cluster-2491.2923" 175 139 142 115 96 75 107 162 133 261 465 608 581 76 245 506 317
"Cluster-2491.22312" 16 5 15 2 9 5 4 4 1 0 1 2 7 2 1 11 4
"Cluster-2491.11891" 0 1 0 0 0 0 57 16 0 0 63 13 6 60 24 0 0
"Cluster-2491.4404" 1524 1204 729 739 993 578 237 698 520 258 337 676 1079 611 210 1601 1468
"Cluster-2491.12172" 209 173 160 101 62 86 27 59 22 29 23 43 99 20 15 103 126
"Cluster-2491.24041" 7 9 6 9 2 2 5 2 0 0 1 2 7 3 0 5 13
"Cluster-2491.6657" 4540 4048 2534 2224 2882 1868 1685 2352 4240 2344 2393 1610 1831 1429 2064 8312 4019
"Cluster-2491.7514" 284 393 176 358 353 236 181 401 508 370 459 300 415 315 355 979 407
"Cluster-2491.7013" 553 374 220 856 948 631 211 1068 446 229 286 703 937 540 199 917 1585
"Cluster-2491.5261" 1670 1331 775 744 750 632 583 1418 1439 764 748 685 915 1010 842 4145 1690
"Cluster-2491.4383" 75 68 21 66 76 55 9 45 14 7 6 14 29 44 4 52 66
"Cluster-2491.21602" 12 18 14 5 3 4 19 21 22 6 12 8 24 11 14 32 37
"Cluster-2491.12840" 47 37 26 89 100 78 18 35 41 7 17 6 10 17 10 155 76
"Cluster-2491.4776" 523 346 232 98 90 63 85 175 55 417 572 1679 2312 69 279 455 851
"Cluster-2491.3618" 17 17 7 11 9 15 7 15 13 6 10 9 28 9 5 21 19
"Cluster-2491.1572" 318 247 81 0 6 5 1 2 0 1 7 6 63 0 0 5 5
"Cluster-2491.13424" 622 703 367 252 277 192 58 250 157 111 135 183 236 128 121 741 247
"Cluster-2491.5678" 3571 2936 2065 1501 1710 1156 764 1988 1619 881 1237 998 1416 1299 1145 4353 1883
"Cluster-2491.16033" 887 760 407 539 671 454 310 572 727 507 753 600 778 337 430 1810 852
"Cluster-2491.19688" 3 0 1 4 6 5 27 10 19 0 0 0 0 13 0 47 10
"Cluster-2491.17042" 34 45 20 116 120 72 15 77 50 27 25 25 36 23 20 95 88
"Cluster-4023.0" 17 17 6 5 6 4 0 5 2 2 0 7 9 1 0 9 13
"Cluster-2491.3768" 60 57 35 310 417 276 83 322 447 90 129 113 182 303 131 693 498
"Cluster-2491.7371" 185 216 64 49 69 46 23 31 25 23 39 45 82 34 7 57 80
"Cluster-2491.14941" 637 575 355 276 239 181 220 511 249 283 500 1554 1768 273 220 1109 909
"Cluster-2491.12023" 1341 944 794 507 637 349 80 364 159 233 316 503 839 202 162 1272 1095
"Cluster-2491.1935" 69 38 6 33 29 13 6 11 1 1 10 22 38 7 0 15 11
"Cluster-2491.6781" 1879 1609 1130 862 846 607 506 1530 1054 1032 1548 2499 3149 837 1055 4483 2112
"Cluster-2491.5379" 2988 2272 1829 2346 3688 2144 790 1991 1669 4458 6193 9444 8666 991 2959 8507 4458
"Cluster-2491.11890" 280 263 132 273 330 226 145 487 159 46 87 177 297 213 52 439 551
"Cluster-2491.9647" 218 116 135 22 18 20 12 38 15 63 179 467 748 4 69 682 379
"Cluster-2491.20962" 27 14 25 7 5 3 7 0 0 3 1 3 17 4 1 17 14
"Cluster-2491.16089" 183 181 79 224 242 136 47 113 139 262 303 437 431 78 129 253 264
"Cluster-2491.17881" 3461 4892 1889 29 22 16 6 34 25 127 61 5 12 19 23 39 37
"Cluster-2491.11654" 2660 2318 1223 2175 2883 1866 1649 5057 5318 2839 3165 2017 2336 2780 2992 11031 5117
"Cluster-2491.7347" 6721 5804 3219 1147 1046 863 550 1430 310 295 352 858 1485 853 211 4154 2127
"Cluster-2491.7354" 239 177 101 103 64 67 58 98 46 225 415 466 455 50 134 208 264
"Cluster-2491.18578" 53 57 35 43 33 25 6 22 10 27 28 19 36 9 28 11 33
"Cluster-2491.10383" 45 37 17 23 33 14 15 21 28 21 24 25 44 8 10 43 30
"Cluster-2491.1226" 2 2 1 17 20 11 9 2 12 1 0 1 1 5 1 20 22
"Cluster-2491.11215" 34 30 17 55 46 45 132 174 156 16 19 6 8 133 44 800 270
"Cluster-2491.12444" 410 330 112 341 310 266 91 146 120 156 170 279 361 115 125 258 305
"Cluster-2491.12059" 129 153 62 473 490 347 93 259 138 18 35 103 167 161 47 264 329
"Cluster-2491.9520" 93 103 67 62 59 53 72 169 145 55 60 32 38 104 60 279 203
"Cluster-2491.9323" 475 309 277 107 128 71 115 182 193 129 151 308 365 150 166 758 381
"Cluster-2491.11741" 1624 1410 1107 267 323 203 92 492 69 51 120 69 559 173 69 1235 582
"Cluster-2491.16690" 749 528 346 36 26 21 4 18 5 138 297 178 383 7 118 18 29
"Cluster-2491.23898" 65 54 26 69 41 26 20 28 15 12 58 408 468 23 11 170 134
"Cluster-2491.17838" 267 278 228 67 92 69 3 27 9 18 13 16 56 5 15 15 24
"Cluster-2491.12663" 148 115 73 15 11 9 27 20 52 41 81 113 118 6 29 185 72
"Cluster-2491.1206" 129 105 62 43 40 47 31 19 19 96 131 205 311 17 74 149 102
"Cluster-2491.17050" 179 154 76 117 150 104 19 95 52 31 39 27 53 35 23 192 115
"Cluster-2491.5036" 499 529 235 661 755 564 123 219 156 171 256 444 730 162 133 474 546
"Cluster-2491.5759" 118 132 75 1738 1925 1612 1021 1942 2064 487 760 1234 1359 1153 671 3968 2958
"Cluster-2491.20040" 1759 1332 840 2921 3530 2146 1928 3934 6010 2094 2430 1993 2255 2839 3021 12150 5225
"Cluster-2491.3061" 394 329 158 207 298 155 41 99 86 95 162 264 315 72 64 309 263
"Cluster-2491.12587" 1072 1014 450 7 3 7 5 48 56 68 196 55 212 39 46 37 6
"Cluster-2491.413" 37 28 13 7 9 9 1 3 3 2 0 4 12 4 0 20 20
"Cluster-2491.5863" 1467 1292 763 933 1153 690 553 1327 1661 681 833 582 731 1135 822 3809 1556
"Cluster-2491.12832" 204 136 112 228 184 112 10 32 25 165 260 297 443 14 96 136 128
"Cluster-2491.11715" 16 10 9 12 15 9 15 43 65 17 36 23 24 29 20 113 39
"Cluster-2491.21594" 25 40 19 30 10 16 4 10 3 1 1 9 34 4 3 22 28
"Cluster-2491.14761" 1812 1256 771 875 1076 689 165 633 286 218 329 595 1213 469 195 2024 1092
"Cluster-2491.9117" 412 285 179 232 249 156 103 231 253 263 328 217 360 165 174 740 325
"Cluster-2491.13067" 193 197 86 155 179 110 33 77 72 32 46 66 133 40 19 211 134
"Cluster-5174.0" 29 22 10 32 25 15 4 10 8 7 18 34 28 8 9 44 14
"Cluster-2491.14015" 1853 1472 951 958 887 658 208 739 420 361 674 1931 2487 345 341 2976 1635
"Cluster-2218.0" 0 0 0 85 371 934 1 0 0 0 0 0 0 0 0 0 0
"Cluster-2491.18823" 210 189 81 99 153 115 33 100 43 32 41 45 125 63 31 152 180
